rank,discipline,yrs.since.phd,yrs.service,sex,salary
Associate,Theoretical,12,8,Male,83
Full,Theoretical,22,22,Male,140.3
Associate,Theoretical,30,23,Male,74
Assistant,Theoretical,9,3,Male,73.8
Full,Theoretical,32,30,Male,92.55
Associate,Theoretical,41,33,Male,88.6
Full,Theoretical,45,45,Male,107.55
Full,Theoretical,31,26,Male,121.2
Full,Theoretical,31,31,Male,126
Full,Theoretical,37,35,Male,99
Full,Theoretical,36,30,Male,134.8
Full,Theoretical,43,43,Male,143.94
Full,Theoretical,14,10,Male,104.35
Full,Theoretical,47,44,Male,89.65
Full,Theoretical,13,7,Male,103.7
Full,Theoretical,42,40,Male,143.25
Full,Theoretical,42,18,Male,194.8
Assistant,Theoretical,4,1,Male,73
Assistant,Theoretical,8,4,Male,74
Assistant,Theoretical,8,3,Female,78.5
Full,Theoretical,12,6,Male,93
Full,Theoretical,52,48,Male,107.2
Full,Theoretical,31,27,Male,163.2
Full,Theoretical,24,18,Male,107.1
Full,Theoretical,46,46,Male,100.6
Full,Theoretical,39,38,Male,136.5
Full,Theoretical,37,27,Male,103.6
Full,Theoretical,51,51,Male,57.8
Full,Theoretical,45,43,Male,155.865
Associate,Theoretical,8,6,Male,88.65
Associate,Theoretical,49,49,Male,81.8
Full,Theoretical,28,27,Male,115.8
Assistant,Theoretical,2,0,Male,85
Full,Theoretical,29,27,Male,150.5
Assistant,Theoretical,8,5,Male,74
Full,Theoretical,33,7,Male,174.5
Full,Theoretical,32,28,Male,168.5
Full,Theoretical,39,9,Male,183.8
Associate,Theoretical,11,1,Male,104.8
Full,Theoretical,19,7,Male,107.3
Full,Theoretical,40,36,Male,97.15
Full,Theoretical,18,18,Male,126.3
Full,Theoretical,17,11,Male,148.8
Full,Theoretical,49,43,Male,72.3
Associate,Theoretical,45,39,Male,70.7
Full,Theoretical,39,36,Male,88.6
Full,Theoretical,27,16,Male,127.1
Full,Theoretical,28,13,Male,170.5
Full,Theoretical,14,4,Male,105.26
Full,Theoretical,46,44,Male,144.05
Full,Theoretical,33,31,Male,111.35
Assistant,Theoretical,7,4,Male,74.5
Full,Theoretical,31,28,Male,122.5
Assistant,Theoretical,5,0,Male,74
Full,Theoretical,22,15,Male,166.8
Full,Theoretical,20,7,Male,92.05
Full,Theoretical,14,9,Male,108.1
Full,Theoretical,29,19,Male,94.35
Full,Theoretical,35,35,Male,100.351
Full,Theoretical,22,6,Male,146.8
Assistant,Applied,6,3,Male,84.716
Associate,Applied,12,9,Female,71.065
Full,Applied,46,45,Male,67.559
Full,Applied,16,16,Male,134.55
Full,Applied,16,15,Male,135.027
Full,Applied,24,23,Male,104.428
Associate,Applied,9,9,Male,95.642
Associate,Applied,13,11,Male,126.431
Full,Applied,24,15,Female,161.101
Full,Applied,30,31,Male,162.221
Assistant,Applied,8,4,Male,84.5
Full,Applied,23,15,Male,124.714
Full,Applied,37,37,Male,151.65
Associate,Applied,10,10,Male,99.247
Full,Applied,23,23,Male,134.778
Full,Applied,49,60,Male,192.253
Full,Applied,20,9,Male,116.518
Full,Applied,18,10,Female,105.45
Full,Applied,33,19,Male,145.098
Associate,Applied,19,6,Female,104.542
Full,Applied,36,38,Male,151.445
Full,Applied,35,23,Male,98.053
Full,Applied,13,12,Male,145
Full,Applied,32,25,Male,128.464
Full,Applied,37,15,Male,137.317
Full,Applied,13,11,Male,106.231
Full,Applied,17,17,Female,124.312
Full,Applied,38,38,Male,114.596
Full,Applied,31,31,Male,162.15
Full,Applied,32,35,Male,150.376
Full,Applied,15,10,Male,107.986
Full,Applied,41,27,Male,142.023
Full,Applied,39,33,Male,128.25
Assistant,Applied,4,3,Male,80.139
Full,Applied,27,28,Male,144.309
Full,Applied,56,49,Male,186.96
Full,Applied,38,38,Male,93.519
Full,Applied,26,27,Male,142.5
Full,Applied,22,20,Male,138
Assistant,Applied,8,1,Male,83.6
Full,Applied,25,21,Male,145.028
Full,Theoretical,49,40,Male,88.709
Full,Theoretical,39,35,Male,107.309
Full,Theoretical,28,14,Female,109.954
Assistant,Theoretical,11,4,Male,78.785
Full,Theoretical,14,11,Male,121.946
Full,Theoretical,23,15,Female,109.646
Full,Theoretical,30,30,Male,138.771
Associate,Theoretical,20,17,Male,81.285
Full,Theoretical,43,43,Male,205.5
Full,Theoretical,43,40,Male,101.036
Full,Theoretical,15,10,Male,115.435
Associate,Theoretical,10,1,Male,108.413
Full,Theoretical,35,30,Male,131.95
Full,Theoretical,33,31,Male,134.69
Associate,Theoretical,13,8,Male,78.182
Full,Theoretical,23,20,Male,110.515
Full,Theoretical,12,7,Male,109.707
Full,Theoretical,30,26,Male,136.66
Full,Theoretical,27,19,Male,103.275
Full,Theoretical,28,26,Male,103.649
Assistant,Theoretical,4,1,Male,74.856
Assistant,Theoretical,6,3,Male,77.081
Full,Theoretical,38,38,Male,150.68
Associate,Theoretical,11,8,Male,104.121
Assistant,Theoretical,8,3,Male,75.996
Full,Theoretical,27,23,Male,172.505
Associate,Theoretical,8,5,Male,86.895
Full,Theoretical,44,44,Male,105
Full,Theoretical,27,21,Male,125.192
Full,Theoretical,15,9,Male,114.33
Full,Theoretical,29,27,Male,139.219
Full,Theoretical,29,15,Male,109.305
Full,Theoretical,38,36,Male,119.45
Full,Theoretical,33,18,Male,186.023
Full,Theoretical,40,19,Male,166.605
Full,Theoretical,30,19,Male,151.292
Full,Theoretical,33,30,Male,103.106
Full,Theoretical,31,19,Male,150.564
Full,Theoretical,42,25,Male,101.738
Full,Theoretical,25,15,Male,95.329
Assistant,Theoretical,8,4,Male,81.035
